"","k_2","k_5","k_10"
"1",3534.28739673682,1309.26288999569,14476.8267114627
"2",1968.29746156467,1031.53929548992,16978.1588658614
"3",2404.39475738489,8357.06230721801,15590.9019614419
"4",1216.79850766444,7520.21160213319,19888.291319259
"5",2459.98612582181,3707.56726939943,17387.5322520394
"6",1889.746127354,4776.46105399722,14917.9948274823
"7",4456.76568599656,4336.89288093605,8705.47249432544
"8",682.622851754592,8354.97709011445,9848.89027465029
"9",4482.81964376503,4648.12527942848,6290.08740155386
"10",3179.87410104804,3531.93911646687,26923.5268903331
"11",6685.49015357939,4997.8981267116,17204.1084803748
"12",5247.82133520778,8719.04364507264,8727.29018962988
"13",1334.63118147907,11724.0734012515,21797.5860647528
"14",4736.60011965219,2697.29661153718,14204.1452062127
"15",2762.02862155847,3176.55882288868,21662.107559494
"16",5592.92431593486,6043.86414583176,9468.01989706202
"17",2563.90626216696,4566.80509727027,8397.14563310608
"18",7248.04843672847,4247.75531886994,4781.48220657912
"19",2404.12883404163,1319.76345724998,11974.0162682859
"20",1662.83953095282,19725.8941234483,18349.9900647279
"21",95.1496132568236,3987.76305696989,13928.5602295751
"22",65.2277081474114,7749.59209131468,11665.636670336
"23",2486.12627946127,9568.17174295918,6292.49837881546
"24",7005.95571879259,9937.58352516995,28722.4908446897
"25",3491.95539399458,3708.5839809942,14771.6612252608
"26",1971.06683126474,7777.72714351487,42991.3963741409
"27",1254.6754738412,11151.1725597909,9056.13558488508
"28",294.029045599589,5754.40357084118,18564.5228146382
"29",164.157281774175,475.178927258759,7896.28752454717
"30",690.064180538513,983.622563355691,17672.3954966456
